Sample,CAT SUM,Si,Al,Na,Ca,Cr,Fe,Mg,K,Ti,Mn,Total,Mg#,Location
C179B-CPX-6,2.25,1.92,0.1,0.03,0.75,0.01,0.37,0.8,0,0.03,0.01,4.01,68.3,South BBC
Average,1.97,1.66,0.08,0.03,0.66,0,0.33,0.71,0,0.42,0.01,3.89,68.4,South BBC
F261-CPX-1,2.27,1.91,0.1,0.03,0.75,0,0.39,0.8,0,0.03,0.01,4.03,67.4,South BBC
F261-CPX-2,2.29,1.91,0.09,0.03,0.76,0,0.4,0.82,0,0.03,0.01,4.04,67.2,South BBC
F261-CPX-3,2.31,1.91,0.09,0.03,0.68,0,0.49,0.8,0,0.03,0.01,4.04,62.1,South BBC
F261-CPX-4,2.28,1.9,0.1,0.03,0.77,0,0.38,0.81,0,0.03,0.01,4.04,68.2,South BBC
F261-CPX-5,2.3,1.91,0.08,0.03,0.71,0,0.47,0.79,0,0.03,0.01,4.03,62.4,South BBC
Average,2.29,1.91,0.09,0.03,0.73,0,0.43,0.8,0,0.03,0.01,4.03,65.5,South BBC
A386D-CPX-1,2.38,1.97,0.04,0.02,0.73,0,0.68,0.52,0,0.02,0.02,4,43.6,South BBC
A386D-CPX-2,2.3,1.96,0.05,0.04,0.81,0,0.52,0.59,0,0.02,0.02,4.02,52.8,South BBC
A386D-CPX-3,2.4,1.97,0.04,0.02,0.73,0,0.7,0.51,0,0.02,0.02,4.01,41.9,South BBC
A386D-CPX-4,2.37,1.95,0.07,0.07,0.79,0,0.53,0.56,0,0.03,0.02,4.02,51.3,South BBC
A386D-CPX-5,2.39,1.95,0.05,0.04,0.79,0,0.64,0.52,0,0.02,0.02,4.03,44.8,South BBC
A386D-CPX-6,2.36,1.96,0.04,0.02,0.77,0,0.62,0.56,0,0.02,0.02,4.01,47.4,South BBC
A386D-CPX-7,2.42,1.96,0.04,0.02,0.76,0,0.68,0.51,0,0.02,0.02,4.01,42.6,South BBC
A386D-CPX-8,2.4,1.98,0.04,0.02,0.74,0,0.68,0.49,0,0.02,0.02,4,42,South BBC
Average,2.38,1.96,0.05,0.03,0.77,0,0.63,0.53,0,0.02,0.02,4.01,45.8,South BBC
A386H-CPX-1,2.37,1.93,0.05,0.02,0.75,0,0.53,0.71,0,0.02,0.01,4.03,57.2,South BBC
A386H-CPX-2,2.31,1.93,0.08,0.03,0.83,0,0.41,0.7,0,0.03,0.01,4.02,62.9,South BBC
A386H-CPX-3,2.37,1.94,0.05,0.03,0.82,0,0.49,0.65,0,0.02,0.02,4.03,56.8,South BBC
A386H-CPX-4,2.37,1.94,0.05,0.03,0.82,0,0.49,0.65,0,0.02,0.02,4.03,57.2,South BBC
Average,2.36,1.94,0.06,0.03,0.81,0,0.48,0.68,0,0.02,0.02,4.03,58.5,South BBC
A386G-CPX-1,2.43,1.96,0.04,0.03,0.77,0,0.7,0.49,0,0.01,0.02,4.03,41.4,South BBC
A386G-CPX-2,2.33,1.93,0.07,0.03,0.77,0,0.44,0.73,0,0.03,0.01,4.02,62.2,South BBC
A386G-CPX-3,2.38,1.96,0.03,0.02,0.78,0,0.61,0.61,0,0.01,0.02,4.03,50.3,South BBC
A386G-CPX-4,2.34,1.94,0.06,0.03,0.75,0,0.5,0.7,0,0.02,0.01,4.02,58.1,South BBC
A386G-CPX-5,2.34,1.92,0.07,0.02,0.75,0,0.46,0.76,0,0.03,0.01,4.03,62,South BBC
Average,2.36,1.94,0.05,0.02,0.76,0,0.54,0.66,0,0.02,0.02,4.02,54.8,South BBC
A420-CPX-1,2.41,1.97,0.04,0.02,0.8,0,0.75,0.36,0,0.02,0.02,3.99,32.6,South BBC
A420-CPX-2,2.4,1.97,0.05,0.02,0.8,0,0.74,0.38,0,0.02,0.02,3.99,34.1,South BBC
A420-CPX-3,2.4,1.97,0.05,0.02,0.77,0,0.71,0.44,0,0.02,0.02,3.99,38.5,South BBC
A420-CPX-4,2.37,1.98,0.04,0.03,0.79,0,0.75,0.35,0,0.02,0.02,3.99,32,South BBC
A420-CPX-5,2.36,1.96,0.05,0.02,0.79,0,0.71,0.43,0,0.02,0.02,4,37.5,South BBC
A420-CPX-6,2.41,1.98,0.04,0.01,0.79,0,0.76,0.35,0,0.02,0.02,3.99,31.8,South BBC
A420-CPX-7,2.6,2.14,0.04,0.02,0.4,0,0.85,0.33,0,0.02,0.02,3.83,27.8,South BBC
Average,2.42,2,0.04,0.02,0.73,0,0.75,0.38,0,0.02,0.02,3.97,33.5,South BBC
A313-CPX-1,2.48,1.93,0.04,0.02,0.85,0,0.85,0.29,0,0.03,0.02,4.03,25.4,South BBC
A313-CPX-2,2.45,1.92,0.05,0.02,0.85,0,0.9,0.24,0,0.03,0.02,4.03,20.8,South BBC
