Sample,CAT SUM,Si,Fe,Mg,Mn,Ca,Ti,Total,Mg#,Unit
C442A-Ol-2,1.84,0.99,1.32,0.66,0.02,0.01,0,3.01,33.2,BRD
C442A-Ol-3,1.82,1.02,1.3,0.64,0.02,0.01,0,2.98,32.9,BRD
C442A-Ol-4,1.83,1.01,1.31,0.64,0.02,0.01,0,2.99,33,BRD
C442A-Ol-5,1.86,0.99,1.34,0.65,0.02,0.01,0,3.01,32.5,BRD
Average,1.84,1,1.32,0.65,0.02,0.01,0,3,32.9,BRD
D193-Ol-1,1.8,0.97,1.18,0.84,0.02,0.01,0,3.03,41.5,BRD
D193-Ol-2,1.8,0.98,1.17,0.83,0.02,0.01,0,3.02,41.5,BRD
D193-Ol-3,1.84,0.99,1.34,0.64,0.02,0.01,0,3.01,32.3,BRD
D193-Ol-4,1.85,0.99,1.36,0.62,0.02,0.01,0,3.01,31.1,BRD
Average,1.82,0.98,1.27,0.73,0.02,0.01,0,3.01,36.6,BRD
F261-Ol-1,1.8,0.97,1.22,0.8,0.02,0.01,0,3.03,39.5,BRD
F261-Ol-2,1.79,0.98,1.22,0.77,0.02,0.01,0,3.01,38.7,BRD
F261-Ol-3,1.81,0.97,1.23,0.8,0.02,0.01,0,3.03,39.4,BRD
Average,1.8,0.97,1.23,0.79,0.02,0.01,0,3.02,39.2,BRD
G500A-Ol-1,1.85,1.01,1.39,0.57,0.02,0.01,0,2.99,29.1,BRD
G500A-Ol-2,1.86,1,1.39,0.57,0.02,0.01,0,3,29.1,BRD
G500A-Ol-3,1.83,1,1.4,0.56,0.02,0.01,0,3,28.3,BRD
G500A-Ol-4,1.87,1.02,1.38,0.55,0.02,0.01,0,2.98,28.5,BRD
G500A-Ol-5,1.84,1.02,1.39,0.55,0.02,0.01,0,2.98,28.3,BRD
G500A-Ol-6,1.86,1.01,1.4,0.55,0.02,0.01,0,2.99,28.4,BRD
Average,1.85,1.01,1.39,0.56,0.02,0.01,0,2.99,28.6,BRD
G500B-Ol-1,1.7,1.01,0.91,1.06,0.01,0,0,2.99,53.9,BRD
G500B-Ol-2,1.7,1.01,0.9,1.06,0.01,0.01,0,2.99,53.9,BRD
G500B-Ol-3,1.69,1.01,0.88,1.07,0.01,0,0,2.99,54.7,BRD
G500B-Ol-4,1.7,1.01,0.89,1.08,0.01,0.01,0,2.99,54.8,BRD
G500B-Ol-5,1.69,1.01,0.92,1.03,0.01,0,0,2.99,52.8,BRD
G500B-Ol-6,1.7,1.01,0.93,1.04,0.01,0.01,0,2.99,53,BRD
G500B-Ol-7,1.7,1.02,0.91,1.05,0.01,0,0,2.98,53.5,BRD
G500B-Ol-8,1.7,1.01,0.92,1.05,0.01,0,0,2.99,53.2,BRD
G500B-Ol-9,1.7,1.01,0.89,1.07,0.01,0.01,0,2.99,54.4,BRD
G500B-Ol-10,1.69,1.01,0.91,1.05,0.01,0,0,2.99,53.4,BRD
Average,1.7,1.01,0.91,1.05,0.01,0,0,2.99,53.8,BRD
G500C-Ol-1,1.89,1.01,1.59,0.35,0.03,0.01,0,2.99,18.1,BRD
G500C-Ol-2,1.92,1,1.61,0.35,0.03,0.01,0,3,18,BRD
G500C-Ol-3,1.92,1,1.61,0.34,0.03,0.01,0,3,17.6,BRD
G500C-Ol-4,1.92,1.01,1.59,0.36,0.03,0.01,0,2.99,18.4,BRD
G500C-Ol-5,1.92,1.01,1.6,0.35,0.03,0.01,0,2.99,17.8,BRD
G500C-Ol-6,1.92,1.01,1.58,0.36,0.03,0.01,0,2.99,18.4,BRD
G500C-Ol-7,1.92,1,1.61,0.35,0.03,0.01,0,3,17.7,BRD
Average,1.92,1.01,1.6,0.35,0.03,0.01,0,2.99,18,BRD
H515-Ol-1,1.87,1.01,1.45,0.5,0.02,0.01,0,2.99,25.5,BRD
H515-Ol-2,1.87,1.01,1.45,0.49,0.02,0.01,0,2.99,25.3,BRD
